"DOI","openalex_id","Year","Authors","Title","Journal","Open Access"
"10.1016/j.brat.2014.04.006","https://openalex.org/W2057906075",2014,"Michelle G. Craske; Michael Treanor; Christopher C. Conway; Tomislav D. Zbozinek; Bram Vervliet","Maximizing exposure therapy: An inhibitory learning approach","Behaviour Research and Therapy",FALSE
"10.1016/j.janxdis.2020.102331","https://openalex.org/W3094281840",2021,"Anke Haberkamp; Hannah Walter; Phillipp Althaus; Matthias Schmuck; Winfried Rief; Filipp Schmidt","Testing a gamified Spider App to reduce spider fear and avoidance","Journal of Anxiety Disorders",FALSE
"10.1097/yic.0000000000000314","https://openalex.org/W3027044460",2020,"Naomi A. Fineberg; Eric Hollander; Stefano Pallanti; Susanne Walitza; Edna Grünblatt; Bernardo Dell'Osso; Umberto Albert; Daniel A. Geller; Vlasios Brakoulias; Y.C. Janardhan Reddy; Shyam Sundar Arumugham; Roseli G. Shavitt; Lynne M. Drummond; Benedetta Grancini; Vera De Carlo; Eduardo Cinosi; Samuel R. Chamberlain; Konstantinos Ioannidis; Carolyn I. Rodriguez; Kabir Garg; David J. Castle; Michael Van Ameringen; Dan J. Stein; Lior Carmi; Joseph Zohar; José M. Menchón","Clinical advances in obsessive-compulsive disorder","International Clinical Psychopharmacology",TRUE
"10.1007/s00213-018-5116-0","https://openalex.org/W2907408958",2019,"Dominique J.-F. de Quervain; Oliver T. Wolf; Benno Roozendaal","Glucocorticoid-induced enhancement of extinction—from animal models to clinical trials","Psychopharmacology",TRUE
"10.1097/yco.0000000000000218","https://openalex.org/W2409263803",2016,"Ulrike Lueken; Tim Hahn","Functional neuroimaging of psychotherapeutic processes in anxiety and depression","Current Opinion in Psychiatry",FALSE
"10.3389/fpsyg.2018.00824","https://openalex.org/W2801902010",2018,"Sebastian Euler; Johannes Wrege; Mareike Busmann; Hannah J. Lindenmeyer; Daniel Sollberger; Undine E. Lang; Jens Gaab; Marc Walter","Exclusion-Proneness in Borderline Personality Disorder Inpatients Impairs Alliance in Mentalization-Based Group Therapy","Frontiers in Psychology",TRUE
"10.1027/2151-2604/a000309","https://openalex.org/W2772690159",2017,"Jan Richter; Andre Pittig; Maike Hollandt; Ulrike Lueken","Bridging the Gaps Between Basic Science and Cognitive-Behavioral Treatments for Anxiety Disorders in Routine Care","Zeitschrift Fur Psychologie-journal of Psychology",FALSE
"10.1111/jopy.12012","https://openalex.org/W1857780785",2013,"Timothy J. Strauman; Elena L. Goetz; Allison M. Detloff; Katherine E. MacDuffie; Luisa Zaunmüller; Wolfgang Lutz","Self-Regulation and Mechanisms of Action in Psychotherapy: A Theory-Based Translational Perspective","Journal of Personality",NA
"10.1159/000430772","https://openalex.org/W2248102213",2015,"Hans-Ulrich Wittchen; Samia Härtling; Jürgen Hoyer","Psychotherapy and Mental Health as a Psychological Science Discipline","Verhaltenstherapie",TRUE
"10.1024/0939-5911.a000111","https://openalex.org/W2139757092",2011,"Eva Hoch; Gerhard Bühringer; Jana Henker; Heike Rohrbacher; René Noack; A Pixa; Katrin Dittmer; Anne Rühlmann; Hans-Ulrich Wittchen","Untersuchungskonzept für die CANDIS 1CANnabis DISorders -Studie zur Behandlung von cannabisbezogenen Störungen: Ein Beispiel translationaler Forschung","Sucht",FALSE
"10.1007/s00115-019-00808-9","https://openalex.org/W2982571178",2019,"Eva-Lotta Brakemeier; Sabine C. Herpertz","Innovative Psychotherapieforschung: auf dem Weg zu einer evidenz- und prozessbasierten individualisierten und modularen Psychotherapie","Nervenarzt",TRUE
"10.1001/jamapsychiatry.2014.1741","https://openalex.org/W1976357293",2015,"Tim Hahn; Tilo Kircher; Benjamin Straube; Hans-Ulrich Wittchen; Carsten Konrad; Andreas Ströhle; André Wittmann; Bettina Pfleiderer; Andreas Reif; Volker Arolt; Ulrike Lueken","Predicting Treatment Response to Cognitive Behavioral Therapy in Panic Disorder With Agoraphobia by Integrating Local Neural Information","JAMA Psychiatry",TRUE
"10.1186/s13643-020-01337-2","https://openalex.org/W3017485463",2020,"Kathrin Schopf; Cornelia Mohr; Michael W. Lippert; Katharina Sommer; Andrea H. Meyer; Silvia Schneider","The role of exposure in the treatment of anxiety in children and adolescents: protocol of a systematic review and meta-analysis","Systematic Reviews",TRUE
"10.1037/bdb0000108","https://openalex.org/W4220955896",2022,"Michael P. Kranak; Griffin W. Rooker; Alexander R. Arevalo; Théo P. Robinson","Mitigating reinstatement using progressive ratio schedules: A proof of concept.","The Behavioral Development Bulletin",FALSE
"10.2147/ndt.s271842","https://openalex.org/W3091782419",2020,"Xiaohua Liu; Yun Wang; Daihui Peng; Huifeng Zhang; Yanqun Zheng; Yan Wu; Yun-Ai Su; Ming Liu; Xiancang Ma; Yi Li; Jianfei Shi; Xiaojing Cheng; Han Rong; Qin Ning","&lt;p&gt;The Developmental and Translational Study on Biomarkers and Clinical Characteristics-based Diagnostic and Therapeutic Identification of Major Depressive Disorder: Study Protocol for a Multicenter Randomized Controlled Trial in China&lt;/p&gt;","Neuropsychiatric Disease and Treatment",TRUE
"10.1037/bdb0000102","https://openalex.org/W3175955264",2021,"Katherine R. Brown; Amanda N. Zangrillo; Brian D. Greer","Development of a systematic approach to identify reinforcer dimension sensitivity.","The Behavioral Development Bulletin",FALSE
"10.1002/jaba.824","https://openalex.org/W3023005523",2021,"Kayla R. Randall; Brian D. Greer; Sean W. Smith; Ryan T. Kimball","Sustaining behavior reduction by transitioning the topography of the functional communication response","Journal of Applied Behavior Analysis",NA
"10.1037/bdb0000101","https://openalex.org/W3155327096",2021,"Ashley M. Fuhrman; Wayne W. Fisher; Brian D. Greer; Timothy A. Shahan; Andrew R. Craig","Resurgence following traditional and interdependent differential reinforcement of alternative behavior.","The Behavioral Development Bulletin",TRUE
"10.1002/jaba.780","https://openalex.org/W3103798095",2021,"Julia A. Iannaccone; Joshua Jessel","A translational comparison of contingency‐based progressive delay procedures and their effects on contextually appropriate behavior","Journal of Applied Behavior Analysis",FALSE
"10.1037/hea0001022","https://openalex.org/W3087268255",2020,"Matt Field; Paul Christiansen; Charlotte A. Hardman; Ashleigh Haynes; Andrew Jones; Allecia E. Reid; Eric Robinson","Translation of findings from laboratory studies of food and alcohol intake into behavior change interventions: The experimental medicine approach.","Health Psychology",NA
"10.1080/15267431.2020.1826485","https://openalex.org/W3092526126",2020,"Jody Koenig Kellas; Toni Morgan; Cassidy Taladay; Mikki Minton; Justice Forte; Erin Husmann","Narrative Connection: Applying CNSM Theory’s Translational Storytelling Heuristic","Journal of Family Communication",FALSE
"10.1016/j.cbpra.2020.09.011","https://openalex.org/W3111566781",2021,"Sarah M. Kennedy; Jessica L. Hawks","Lessons Learned From a Randomized Controlled Pilot Trial Testing an Inhibitory Learning Approach to Exposure in Anxious Youth","Cognitive and Behavioral Practice",FALSE
"10.1007/s40616-020-00137-y","https://openalex.org/W3102144287",2020,"Jordan Belisle; Kate Huggins; Meghan Doherty; Caleb R. Stanley; Mark R. Dixon","Generalized Reflexive Responding and Cross-Modal Tactile Transfer of Stimulus Function in Children with Autism","The Analysis of Verbal Behavior",FALSE
"10.1002/jaba.678","https://openalex.org/W3005045555",2020,"Catalina N. Rey; Alison M. Betz; Andressa A. Sleiman; Toshikazu Kuroda; Christopher A. Podlesnik","The role of adventitious reinforcement during differential reinforcement of other behavior: A systematic replication","Journal of Applied Behavior Analysis",FALSE
"10.1037/cpp0000326","https://openalex.org/W3035939434",2020,"Tessa Wihak; Maureen Burns; Jacqueline Miranda; Gail Windmueller; Carlee Oakley; Rachael Coakley","Development and feasibility testing of the Comfort Ability Program for sickle cell pain: A patient-informed, video-based pain management intervention for adolescents with sickle cell disease.","Clinical practice in pediatric psychology",FALSE
"10.1016/j.brat.2019.103545","https://openalex.org/W3000674082",2020,"Rudi De Raedt","Contributions from neuroscience to the practice of Cognitive Behaviour Therapy: Translational psychological science in service of good practice","Behaviour Research and Therapy",FALSE
"10.1002/jeab.573","https://openalex.org/W2997503349",2020,"Brooke M. Smith; Gregory S. Smith; Simon Dymond","Relapse of anxiety‐related fear and avoidance: Conceptual analysis of treatment with acceptance and commitment therapy","Journal of the Experimental Analysis of Behavior",NA
"10.1002/jaba.595","https://openalex.org/W2960644278",2019,"Billie J. Retzlaff; Wayne W. Fisher; Jessica S. Akers; Brian D. Greer","A translational evaluation of potential iatrogenic effects of single and combined contingencies during functional analysis","Journal of Applied Behavior Analysis",NA
"10.1093/jpepsy/jsy083","https://openalex.org/W2900595415",2019,"Sylvie Naar; Bonnie Spring","Commentary: Methods and Designs for T1 Translation in Pediatric Psychology","Journal of Pediatric Psychology",FALSE
"10.1002/anzf.1392","https://openalex.org/W2991613997",2019,"Daniel K. Cooper; Elizabeth Wieling; Anett Pfeiffer","Bioecological Implications of Narrative Exposure Therapy in Low‐Resource Settings: Individual, Family, Community, and Socio‐Political Contexts","Australian and New Zealand Journal of Family Therapy",NA
"10.1007/s00278-019-00379-9","https://openalex.org/W2982622264",2019,"Beate Ditzen; Monika Eckstein; Melanie S. Fischer; Corina Aguilar-Raab","Partnerschaft und Gesundheit","Psychotherapeut",FALSE
"10.2196/13606","https://openalex.org/W2964658992",2019,"François Carbonnel; Grégory Ninot","Identifying Frameworks for Validation and Monitoring of Consensual Behavioral Intervention Technologies: Narrative Review","Journal of Medical Internet Research",TRUE
"10.1002/jaba.647","https://openalex.org/W2771447691",2019,"Vivian F. Ibañez; Cathleen C. Piazza; Kathryn M. Peterson","A translational evaluation of renewal of inappropriate mealtime behavior","Journal of Applied Behavior Analysis",NA
"10.1146/annurev-clinpsy-050718-095634","https://openalex.org/W2911560859",2019,"Lauren A.M. Lebois; Antonia V. Seligowski; Jonathan D. Wolff; Sarah B. Hill; Kerry J. Ressler","Augmentation of Extinction and Inhibitory Learning in Anxiety and Trauma-Related Disorders","Annual Review of Clinical Psychology",FALSE
"10.1016/j.cpr.2018.08.005","https://openalex.org/W2888059438",2019,"Lalitha Iyadurai; Renée M. Visser; Alex Lau-Zhu; Kate Porcheret; Antje Horsch; Emily A. Holmes; Ella L. James","Intrusive memories of trauma: A target for research bridging cognitive science and its clinical application","Clinical Psychology Review",TRUE
"10.3389/fpsyt.2018.00548","https://openalex.org/W2806642665",2018,"Kenneth Blum; Marjorie C. Gondré-Lewis; David Baron; Panayotis K. Thanos; Eric R. Braverman; Jennifer Neary; Igor Elman; Rajendra D Badgaiyan","Introducing Precision Addiction Management of Reward Deficiency Syndrome, the Construct That Underpins All Addictive Behaviors","Frontiers in Psychiatry",TRUE
"10.1002/jaba.499","https://openalex.org/W2894898912",2018,"Wayne W. Fisher; Brian D. Greer; Ashley M. Fuhrman; Valdeep Saini; Christina A. Simmons","Minimizing resurgence of destructive behavior using behavioral momentum theory","Journal of Applied Behavior Analysis",TRUE
"10.1111/jep.12915","https://openalex.org/W2802617812",2018,"Vanya Matanova; Zlatomira Kostova; Martin Kolev","Brain-based treatment-A new approach or a well-forgotten old one?","Journal of Evaluation in Clinical Practice",FALSE
"10.1002/jaba.496","https://openalex.org/W2883290724",2018,"Clare J. Liddon; Michael E. Kelley; Catalina N. Rey; Ashley P. Liggett; Aurelia Ribeiro","A translational analysis of ABA and ABC renewal of operant behavior","Journal of Applied Behavior Analysis",FALSE
"10.1002/jaba.466","https://openalex.org/W2802742757",2018,"Ryan T. Kimball; Michael E. Kelley; Christopher A. Podlesnik; Alex Forton; Brandy Hinkle","Resurgence with and without an alternative response","Journal of Applied Behavior Analysis",FALSE
"10.1016/j.beth.2017.09.001","https://openalex.org/W2753574612",2017,"Megan E. Renna; Jean M. Quintero; Ariella Soffer; Martin Pino; Leslie Ader; David M. Fresco; Douglas S. Mennin","A Pilot Study of Emotion Regulation Therapy for Generalized Anxiety and Depression: Findings From a Diverse Sample of Young Adults","Behavior Therapy",NA
"10.1016/j.pnpbp.2018.03.003","https://openalex.org/W2792164490",2018,"Allison A. Feduccia; Michael C. Mithoefer","MDMA-assisted psychotherapy for PTSD: Are memory reconsolidation and fear extinction underlying mechanisms?","Progress in Neuro-psychopharmacology & Biological Psychiatry",TRUE
"10.1037/ccp0000289","https://openalex.org/W2792164547",2018,"Douglas S. Mennin; David M. Fresco; Mia Skytte O'Toole; James J. Gross","A randomized controlled trial of emotion regulation therapy for generalized anxiety disorder with and without co-occurring depression.","Journal of Consulting and Clinical Psychology",TRUE
"10.1002/jeab.315","https://openalex.org/W2886127472",2018,"Ashley P. Liggett; Regina Nastri; Christopher A. Podlesnik","Assessing the combined effects of resurgence and reinstatement in children diagnosed with autism spectrum disorder","Journal of the Experimental Analysis of Behavior",FALSE
"10.1016/j.jpsychires.2017.12.014","https://openalex.org/W2779008721",2018,"Julianne C. Flanagan; Lauren M. Sippel; Amy E. Wahlquist; Megan M. Moran-Santa Maria; Sudie E. Back","Augmenting Prolonged Exposure therapy for PTSD with intranasal oxytocin: A randomized, placebo-controlled pilot trial","Journal of Psychiatric Research",TRUE
"10.1037/int0000065","https://openalex.org/W2781974928",2017,"Kevin S. McCarthy; Anne P. Taylor","Crossing boundaries for borderline personality disorder: Comment on Dixon-Gordon, Peters, Fertuck, and Yen (2016).","Journal of Psychotherapy Integration",FALSE
"10.2174/2210676607666170607160400","https://openalex.org/W2698910221",2017,"Basant Pradhan; Tapan Parikh; Madhusmita Sahoo; Richard Selznick; Michael Goodman","Current Understanding of Dyslexia and Pilot Data on Efficacy of a Mindfulness Based Psychotherapy (MBR-RAM) Model","Adolescent psychiatry",FALSE
"10.1177/0145445517696052","https://openalex.org/W2593413236",2017,"Nathan A. Call; Andrea R. Reavis; Seth B. Clark; Natalie A. Parks; Tom Cariveau; Colin S. Muething","The Effects of Conducting a Functional Analysis on Problem Behavior in Other Settings: A Descriptive Study on Potential Interaction Effects","Behavior Modification",FALSE
"10.1002/jaba.400","https://openalex.org/W2626989834",2017,"Christopher A. Podlesnik; Michael E. Kelley; Corina Jimenez-Gomez; Mark E. Bouton","Renewed behavior produced by context change and its implications for treatment maintenance: A review","Journal of Applied Behavior Analysis",NA
"10.1007/s00278-017-0168-x","https://openalex.org/W2594427455",2017,"Christoph Flückiger; Judith Held; Christine Wolfer; Mathias Allemand; Andreea Vîslă","Ressourcenorientierung als Interventionsleitbild","Psychotherapeut",FALSE
"10.1001/jamapsychiatry.2016.1132","https://openalex.org/W2468245768",2016,"Stefan G. Hofmann","Schrödinger’s Cat andd-Cycloserine to Augment Exposure Therapy—Both Are Alive and Dead","JAMA Psychiatry",FALSE
"10.1016/j.brat.2016.08.015","https://openalex.org/W2517717524",2016,"Sara Scheveneels; Yannick Boddez; Bram Vervliet; Dirk Hermans","The validity of laboratory-based treatment research: Bridging the gap between fear extinction and exposure treatment","Behaviour Research and Therapy",NA
"10.1002/jaba.338","https://openalex.org/W2485342339",2016,"Ashley M. Fuhrman; Wayne W. Fisher; Brian D. Greer","A preliminary investigation on improving functional communication training by mitigating resurgence of destructive behavior","Journal of Applied Behavior Analysis",FALSE
"10.1111/famp.12233","https://openalex.org/W2464033186",2016,"Viviana E. Horigian; Austen R. Anderson; José Szapocznik","Taking Brief Strategic Family Therapy from Bench to Trench: Evidence Generation Across Translational Phases","Family Process",FALSE
"10.1017/s1352465816000060","https://openalex.org/W2315125390",2016,"Daniel Freeman; Jonathan Bradley; Felicity Waite; Bryony Sheaves; Natalie DeWeever; Emilie Bourke; Josephine McInerney; Nicole Evans; Emma Černis; Rachel Lister; Philippa Garety; Graham Dunn","Targeting Recovery in Persistent Persecutory Delusions: A Proof of Principle Study of a New Translational Psychological Treatment (the Feeling Safe Programme)","Behavioural and Cognitive Psychotherapy",TRUE
"10.1002/jaba.283","https://openalex.org/W2287813247",2016,"Joshua Jessel; Gregory P. Hanley; Mahshid Ghaemmaghami","A translational evaluation of transitions","Journal of Applied Behavior Analysis",FALSE
"10.5514/rmac.v41.i2.63776","https://openalex.org/W2292177655",2015,"Keith Lit; F. Charles Mace","WHERE WOULD ABA BE WITHOUT EAB? AN EXAMPLE OF TRANSLATIONAL RESEARCH ON RECURRENCE OF OPERANT BEHAVIOR AND TREATMENT RELAPSE","Revista mexicana de análisis de la conducta",FALSE
"10.1007/s40732-014-0103-2","https://openalex.org/W2030613824",2015,"Mairéad Foody; Yvonne Barnes-Holmes; Dermot Barnes-Holmes; Laura Rai; Carmen Luciano","An Empirical Investigation of the Role of Self, Hierarchy, and Distinction in a Common Act Exercise","Psychological Record",FALSE
"10.1002/jaba.266","https://openalex.org/W1775834967",2015,"Sarah E. Bloom; Joseph M. Lambert","Implications for practice: Resurgence and differential reinforcement of alternative responding","Journal of Applied Behavior Analysis",FALSE
"10.1002/da.22377","https://openalex.org/W1818718306",2015,"Douglas S. Mennin; David M. Fresco; Michael R. Ritter; James J. Gross","AN OPEN TRIAL OF EMOTION REGULATION THERAPY FOR GENERALIZED ANXIETY DISORDER AND COOCCURRING DEPRESSION","Depression and Anxiety",TRUE
"10.1891/0889-8391.29.1.68","https://openalex.org/W2007382272",2015,"Julian D. Ford","An Affective Cognitive Neuroscience-Based Approach to PTSD Psychotherapy: The TARGET Model","Journal of Cognitive Psychotherapy",FALSE
"10.1017/s0140525x14000363","https://openalex.org/W2106241686",2015,"Israel Liberzon; Arash Javanbakht","Memory reconsolidation and psychotherapeutic process","Behavioral and Brain Sciences",FALSE
"10.1016/j.beth.2014.09.014","https://openalex.org/W2063943610",2015,"Rachel Hershenberg; Marvin R. Goldfried","Implications of RDoC for the Research and Practice of Psychotherapy","Behavior Therapy",FALSE
"10.1037/h0100581","https://openalex.org/W2331202976",2014,"Autumn McKeel; Mark R. Dixon","Furthering a behavior analytic account of self-control using relational frame theory.","The Behavioral Development Bulletin",FALSE
"10.1016/j.brat.2014.09.003","https://openalex.org/W1980163142",2014,"David H. Barlow","The neuroscience of psychological treatments","Behaviour Research and Therapy",FALSE
"10.1371/journal.pone.0093519","https://openalex.org/W1980034853",2014,"Helga Rodrigues; Ivan Figueira; Alessandra Pereira Lopes; Raquel Gonçalves; Mauro V. Mendlowicz; Evandro Silva Freire Coutinho; Paula Ventura","Does D-Cycloserine Enhance Exposure Therapy for Anxiety Disorders in Humans? A Meta-Analysis","PLOS ONE",TRUE
"10.1007/s10880-014-9393-4","https://openalex.org/W2004544592",2014,"Terri L. Barrera; Kathleen M. Grubbs; Mark E. Kunik; Ellen J. Teng","A Review of Cognitive Behavioral Therapy for Panic Disorder in Patients with Chronic Obstructive Pulmonary Disease: The Rationale for Interoceptive Exposure","Journal of Clinical Psychology in Medical Settings",FALSE
"10.1037/a0035641","https://openalex.org/W2083706748",2014,"Mark P. Jensen; Dennis C. Turk","Contributions of psychology to the understanding and treatment of people with chronic pain: Why it matters to ALL psychologists.","American Psychologist",FALSE
"10.1111/jopy.12015","https://openalex.org/W2126677036",2013,"Yuichi Shoda; Nicole L. Wilson; Jessica A. Chen; Amanda K. Gilmore; Ronald E. Smith","Cognitive-Affective Processing System Analysis of Intra-Individual Dynamics in Collaborative Therapeutic Assessment: Translating Basic Theory and Research Into Clinical Applications","Journal of Personality",FALSE
"10.1111/jcpp.12092","https://openalex.org/W1991576048",2013,"Jennifer L. Hudson; Kathryn J. Lester; Glyn Lewis; Maria Tropeano; Cathy Creswell; David A. Collier; Peter J. Cooper; Heidi J. Lyneham; Talia Morris; Ronald M. Rapee; Susanna Roberts; Jennifer A. Donald; Thalia C. Eley","Predicting outcomes following cognitive behaviour therapy in child anxiety disorders: the influence of genetic, demographic and clinical information","Journal of Child Psychology and Psychiatry",TRUE
"10.1016/j.cbpra.2013.02.001","https://openalex.org/W1987838351",2013,"David M. Fresco; Douglas S. Mennin; James J. Gross; Michael R. Ritter","Emotion Regulation Therapy for Generalized Anxiety Disorder","Cognitive and Behavioral Practice",NA
"10.1155/2013/156084","https://openalex.org/W2099288315",2013,"Stefano Barlati; Giacomo Deste; Luca De Peri; Cassandra Ariu; Antonio Vita","Cognitive Remediation in Schizophrenia: Current Status and Future Perspectives","Schizophrenia Research and Treatment",TRUE
"10.1007/s12160-012-9390-5","https://openalex.org/W1978294549",2012,"Lawrence R. Brawley; W. Jack Rejeski; Jill E. Gaukstern; Walter T. Ambrosius","Social Cognitive Changes Following Weight Loss and Physical Activity Interventions in Obese, Older Adults in Poor Cardiovascular Health","Annals of Behavioral Medicine",NA
"10.1037/a0027925","https://openalex.org/W1994762458",2012,"Dina Vivian; Rachel Hershenberg; Bethany A. Teachman; Deborah A. G. Drabick; Marvin R. Goldfried; Barry E. Wolfe","A translational model of research-practice integration.","Psychotherapy",FALSE
"10.1007/s10879-011-9195-z","https://openalex.org/W1988370178",2012,"Christina M. Sheerin; Richard W. Seim; C. Richard Spates","A New Appraisal of Combined Treatments for PTSD in the Era of Psychotherapy Adjunctive Medications","Journal of Contemporary Psychotherapy",FALSE
"10.1037/a0024992","https://openalex.org/W2029034232",2012,"Marcella L. Woud; Emily A. Holmes; Peggy Postma; Tim Dalgleish; Bundy Mackintosh","Ameliorating intrusive memories of distressing experiences using computerized reappraisal training.","Emotion",FALSE
"10.1007/s13142-011-0030-6","https://openalex.org/W2046233943",2011,"Redford B. Williams; Virginia P. Williams","Adaptation and implementation of an evidence-based behavioral medicine program in diverse global settings: The Williams LifeSkills experience","Translational behavioral medicine",NA
"10.15288/jsad.2011.72.903","https://openalex.org/W2019275263",2011,"Sarah W. Feldstein Ewing; Francesca M. Filbey; Christian S. Hendershot; Amber D. McEachern; Kent E. Hutchison","Proposed Model of the Neurobiological Mechanisms Underlying Psychosocial Alcohol Interventions: The Example of Motivational Interviewing*","Journal of Studies on Alcohol and Drugs",TRUE
"10.1080/00029157.2010.10401745","https://openalex.org/W2105457461",2010,"David Atkinson; Salvatore Iannotti; Mauro Cozzolino; Stefano Castiglione; Angela Cicatelli; Bhaskar Vyas; Jane Mortimer; Richard Hill; Erika Chovanec; Alessia Chiamberlando; Jorge Cuadros; Claude Virot; Michel Kerouac; Thierry Kallfass; Stanley Krippner; Claire Frederick; Bruce Gregory; Michael Shaffran; Margaret Bullock; Ella Soleimany; April Cybelle Rossi; Kathryn Rossi; Ernest Lawrence Rossi","A New Bioinformatics Paradigm for the Theory, Research, and Practice of Therapeutic Hypnosis","American Journal of Clinical Hypnosis",FALSE
"10.1901/jaba.2010.43-653","https://openalex.org/W2031019516",2010,"Amber E. Mendres; John C. Borrero","DEVELOPMENT AND MODIFICATION OF A RESPONSE CLASS VIA POSITIVE AND NEGATIVE REINFORCEMENT: A TRANSLATIONAL APPROACH","Journal of Applied Behavior Analysis",TRUE
"10.1016/j.psc.2010.04.008","https://openalex.org/W2003020011",2010,"K.A. Ganasen; J.C. Ipser; Dan J. Stein","Augmentation of Cognitive Behavioral Therapy with Pharmacotherapy","Psychiatric Clinics of North America",FALSE
"10.1176/appi.ajp.2009.09071074","https://openalex.org/W2109167188",2010,"Tanja Jovanovic; Kerry J. Ressler","How the Neurocircuitry and Genetics of Fear Inhibition May Inform Our Understanding of PTSD","American Journal of Psychiatry",FALSE
"10.1016/j.cbpra.2009.06.006","https://openalex.org/W2016383124",2010,"Kiara R. Timpano; Norman B. Schmidt","The Association Between Self-Control and Hoarding: A Case Report","Cognitive and Behavioral Practice",FALSE
"10.1901/jaba.2010.43-47","https://openalex.org/W2104597243",2010,"Claire St. Peter Pipkin; Timothy Vollmer; Kimberly N. Sloman","EFFECTS OF TREATMENT INTEGRITY FAILURES DURING DIFFERENTIAL REINFORCEMENT OF ALTERNATIVE BEHAVIOR: A TRANSLATIONAL MODEL","Journal of Applied Behavior Analysis",TRUE
"10.1080/16506070902980695","https://openalex.org/W2092505096",2009,"Edward R. Watkins","Depressive Rumination: Investigating Mechanisms to Improve Cognitive Behavioural Treatments","Cognitive Behaviour Therapy",TRUE
"10.1111/j.1469-7610.2008.02034.x","https://openalex.org/W2114049879",2009,"John S. March","The future of psychotherapy for mentally ill children and adolescents","Journal of Child Psychology and Psychiatry",FALSE
